id,user,created_at,text
1004559897252515845,xiata,2018-06-07 03:05:17,"b'@sarahfuller1930 @Windows If it happens at start up, press CTRL+ALT+DEL and go to Task Manager. Go to the startup t\xe2\x80\xa6 https://t.co/9FEh4oPGzu'"
1004559287367225346,xiata,2018-06-07 03:02:52,"b'@sarahfuller1930 @Windows I suspect, however, E: is probably going to be pointing to a DVD / BluRay drive, which in\xe2\x80\xa6 https://t.co/k2p7XHuXAG'"
1004558917895118854,xiata,2018-06-07 03:01:24,"b'@sarahfuller1930 @Windows Removing the drive letter will make whatever is in E: inaccessible though, so you are ful\xe2\x80\xa6 https://t.co/TFYAkCVBdl'"
1004558528936398849,xiata,2018-06-07 02:59:51,"b'@sarahfuller1930 @Windows E.g. If it mentions Boot, Page, EFI, Crash Dump, OEM Partition, or anything other than Pr\xe2\x80\xa6 https://t.co/bhMmgRyRJy'"
1004558038462853120,xiata,2018-06-07 02:57:54,"b'@sarahfuller1930 @Windows Hit Win+X, go to Computer Management, under Storage -&gt; Disk Management, find whatever has\xe2\x80\xa6 https://t.co/l8PdftqfIO'"
1004557399888486400,MeAlexanderC,2018-06-07 02:55:22,"b""Years ago I used to use a Mac but then I switched to @Windows and I couldn't imagine how I lived without it. Mac is\xe2\x80\xa6 https://t.co/IIMv4wcNP6"""
1004556142461235200,Philip_Strollo,2018-06-07 02:50:22,b'@RealShawnSuter @Microsoft @Windows @BillGates And Windows running on top of DOS was known as the dreaded \xe2\x80\x9cmemory hog\xe2\x80\x9d... \xf0\x9f\x98\x81'
1004555362442375168,RealShawnSuter,2018-06-07 02:47:16,"b""It's time for me to #AgeYourselfIn3Words:\n\nWindows And DOS\n\n\xf0\x9f\x92\xbe &lt;--- Remember These LOL\n\n@Microsoft @Windows\xe2\x80\xa6 https://t.co/qSNHextMDu"""
1004555163124690945,mecaganto2,2018-06-07 02:46:29,b'@Windows windows live messenger back!!'
1004555092186419200,mecaganto2,2018-06-07 02:46:12,"b'@Windows live messenger back i hate fb messenger stupid @facebook, i want live messenger back'"
1004555034770771969,21321xt,2018-06-07 02:45:58,"b'@iliecs @Windows voluntarily renewed, was soughtfor,'"
1004554991204380672,WozzaNoski,2018-06-07 02:45:48,"b'Annual Leave day from #work again today, home doing chores, catching up on some @YouTube content + trying to update\xe2\x80\xa6 https://t.co/JGkOC5n6kt'"
1004554938721099776,mecaganto2,2018-06-07 02:45:35,b'@Windows live messsenger back'
1004563004044673024,JTHumanist,2018-06-07 03:17:38,"b""Trump appointment = branded idiot. So it shall be. I'd be embarrassed if Trump appointed me to anything\xe2\x80\xa6 https://t.co/cyESwfLETp"""
1004562092429475840,JTHumanist,2018-06-07 03:14:01,"b""Heather Nauert @StateDept another Trump moron makes a fool of America. Why don't you and that lackey ambassador to\xe2\x80\xa6 https://t.co/ZIGduuzoI2"""
1004562018748076032,rccarlsonjr,2018-06-07 03:13:43,"b'@CNN Good! I don\xe2\x80\x99t like Jeff sessions anyway, he\xe2\x80\x99s anti-cannabis #realDonaldTrump'"
1004560848751419392,bugsway505,2018-06-07 03:09:04,b'You keep on getting US confused with your own family... Your family are a bunch of pathetic losers.... #realDonaldTrump'
1004560381195489280,bugsway505,2018-06-07 03:07:13,b'They should rename you The insult to injury president.  #realDonaldTrump'
1004559710442409985,bugsway505,2018-06-07 03:04:33,b'GOD! You are a f****** idiot!!! #realDonaldTrump #HARVEY'
1004558596443500544,JT0sca,2018-06-07 03:00:07,b'@trumpism_45 @realDonaldTrump @KimKardashian Liberals gonna HATE this. Anything good #realDonaldTrump is responsibl\xe2\x80\xa6 https://t.co/w0faPe7aNe'
1004554695673819136,SomervilleScene,2018-06-07 02:44:37,"b'Rudy Giuliani says that \'Stormy Daniels\'s reputation doesn\'t exist since she ""exhibited her body for money"". \nNow w\xe2\x80\xa6 https://t.co/466wIaxEfZ'"
1004553718908403712,nomacsoup4u,2018-06-07 02:40:44,"b""@CNNPolitics Just like #realDonaldTrump 's wife Jeff Sessions sits far away from King Sleaze as possible."""
